Date,Period,Site,CollectedBy,Type,Transect,CommonName,Family ,Genus,Species,Amount ,FloralUnits,Pressed,Notes,HerbariumNumber,inatEntry
7/21/2022,DeclineBloom,Asotin,OS,Herb,1,tumble mustard,Brassicaceae,Sisymbrium,altissimum,1,1,no,TR 3,,
7/21/2022,DeclineBloom,Asotin,OS,Herb,3,tumble mustard,Brassicaceae,Sisymbrium,altissimum,1,1,no,inat pic,,Yes
7/21/2022,DeclineBloom,Asotin,OS,Herb,4,tumble mustard,Brassicaceae,Sisymbrium,altissimum,1,1,no,see TR3,,
7/21/2022,DeclineBloom,Asotin,OS,Herb,3,Cotton thistle,Asteraceae,Onopordum,acanthium,5,3,yes,large purple,,
6/29/2022,PeakBloom,Asotin,OS,Herb,3,tumble mustard,Brassicaceae,Sisymbrium,altissimum,7,156,yes,"on its way out, thistle blooming soon",58,
6/29/2022,PeakBloom,Asotin,SH,Herb,1,tumble mustard,Brassicaceae,Sisymbrium,altissimum,11,39,,,,
6/29/2022,PeakBloom,Asotin,SH,Herb,2,tumble mustard,Brassicaceae,Sisymbrium,altissimum,27,109,,,56,
6/29/2022,PeakBloom,Asotin,OS,Herb,4,tumble mustard,Brassicaceae,Sisymbrium,altissimum,27,174,yes,may have mixed up sp. last time,57,
6/8/2022,PreBloom,Asotin,ML,Herb,1,Aster,Asteraceae,UK,sp,1,8,no,,,
6/8/2022,PreBloom,Asotin,ML,Herb,1,Menzie's fiddleneck,Boraginaceae,Amsinckia,menziesii,1,3,no,,,
6/8/2022,PreBloom,Asotin,ML,Herb,3,Catchweed,Rubiaceae,Galium,aparine,3,3,no,,,
6/8/2022,PreBloom,Asotin,ML,Herb,4,Aster,Asteraceae,UK,sp,6,42,no,,,
6/8/2022,PreBloom,Asotin,ML,Herb,3,Tumble Mustard,Brassicaceae,Sisymbrium,altissimum,11,34,no,,,
6/8/2022,PreBloom,Asotin,ML,Herb,1,Tumble Mustard,Brassicaceae,Sisymbrium,altissimum,14,NA,no,,,
6/8/2022,PreBloom,Asotin,ML,Herb,2,Tumble Mustard,Brassicaceae,Sisymbrium,altissimum,20,20,no,,,
7/25/2022,DeclineBloom,Chipman1,OS,Herb,3,Yarrow,Asteraceae,Achillea,millefolium,1,1,no,,,
7/25/2022,DeclineBloom,Chipman1,OS,Herb,3,sticky geranium,Geraniaceae,Geranium,viscosissimum,1,1,no,,,
7/25/2022,DeclineBloom,Chipman1,OS,Herb,4,yarrow,Asteraceae,Achillea,millefolium,2,2,no,,,
7/25/2022,DeclineBloom,Chipman1,OS,Herb,4,silky lupine,Fabaceae,Lupinus,sericeus,2,1,no,almost done bloom,,
7/25/2022,DeclineBloom,Chipman1,OS,Herb,3,hawk weed,Asteraceae,Hieracium,caespilosum,5,23,no,,,
7/25/2022,DeclineBloom,Chipman1,OS,Woody,4,snowberry ,Caprifoliaceae,Symphoricarpos,albus,7,,no,going to fruit,,
7/25/2022,DeclineBloom,Chipman1,OS,Herb,3,Oregon checkermallow,Malvaceae,Sidalcea,oregana,9,77,no,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,2,dame's rocket,Brassicaceae,Hesperis,matronalis,1,2,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,3,light lupine,Fabaceae,Lupinus,sp,1,1,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,4,blanket flower,Asteraceae,Gaillardia,sp,1,1,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,4,yarrow,Asteraceae,Achillea,millefolium,1,3,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,3,sticky geranium,Geraniaceae,Geranium,viscosissimum,2,2,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,3,blanket flower,Asteraceae,Gaillardia,sp,2,2,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,3,yarrow,Asteraceae,Achillea,millefolium,3,3,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,4,light lupine,Fabaceae,Lupinus,sp,3,3,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,4,prairie smoke,Rosaceae,Geum,triflorum,3,8,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,4,slender cinquefoil,Rosaceae,Potentilla,gracilis,4,4,,,,
7/5/2022,PeakBloom,Chipman1,SH,Herb,3,slender cinquefoil,Rosaceae,Potentilla,gracilis,10,4,,,,
7/5/2022,PeakBloom,Chipman1,SH,Woody,4,snowberry ,Caprifoliacea,Symphoricarpos,albus,200,,,amount estimated,,
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Tall ragwort,Asteraceae,Senecio,sericeus,1,1,yes,Groundsel/ragwort,19,
6/2/2022,PreBloom,Chipman1,OS,Woody,3,Black Hawthorn,Rosaceae,Crataegus,douglasii,1,NA,no,Hawthorn,NA,yes
6/2/2022,PreBloom,Chipman1,OS,Herb,4,Miners lettuce,Monitaceae,Claytonia,perfoliata,1,1,no,Miner's lettuce,NA,
6/2/2022,PreBloom,Chipman1,OS,Herb,4,Tatarian honeysuckle,Caprifoliaceae,Lonicera,tatarica,1,NA,yes,Pink flowering bush,20,"yes, waiting on ID"
6/2/2022,PreBloom,Chipman1,OS,Woody,3,Saskatoon Serviceberry,Rosaceae,Amelianchier,alnifolia,2,NA,no,Serviceberry,NA,yes
5/31/2022,PreBloom,Chipman1,OS,Herb,2,Dames Rocket,Brassicaceae ,Hesperis,matronalis,3,10,yes,Dame's Rocket,1,no
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Prairie Smoke,Rosaceae,Geum,triflorum,3,3,no,Prairie Smoke,NA,
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Rocky Mountain Iris,Iridaceae,Iris,missouriensis,4,4,yes,Iris,8,
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Catchweed ,Rubiaceae,Galium,aparine,6,6,no,Catchweed bed straw,NA,
6/2/2022,PreBloom,Chipman1,OS,Herb,4,Yellow beardstongue,Plantaginaceae,Penestemon,confertus,7,7,yes,Beard tongue,,
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Changing forget-me-not,Boraginaceae,Myosotis,discolor,10,10,no,forget-me-nots,NA,
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Miners lettuce,Monitaceae,Claytonia,perfoliata,12,12,yes,Miner's lettuce,10,
6/2/2022,PreBloom,Chipman1,OS,Herb,4,Prairie Smoke,Rosaceae,Geum,triflorum,17,51,yes,Prairie Smoke,24,
5/31/2022,PreBloom,Chipman1,OS,Herb,2,Menzie's fiddleneck,Boraginaceae,Amsinckia,menziesii,18,20,yes,fiddleneck?,4,no
6/2/2022,PreBloom,Chipman1,OS,Herb,3,Hairy clematis,Ranunculaceae,Clematis,hirsutissima,19,5,yes,Most gone to seed,,
6/2/2022,PreBloom,Chipman1,OS,Herb,4,Changing forget-me-not,Boraginaceae,Myosotis,discolor,23,23,yes,forget-me-nots,21,
5/31/2022,PreBloom,Chipman1,OS,Herb,1,Changing forget-me-not,Boraginaceae,Myosotis,discolor,48,84,yes,forget-me-nots,6,no
5/31/2022,PreBloom,Chipman1,OS,Herb,1,Red Deadnettle,Lamiaceae,Lamium,purpureum,61,61,no,,NA,no
6/2/2022,PreBloom,Chipman1,OS,Herb,4,Common cornsalad,Caprifoliaceae,Valerianella,locusta,93,93,yes,cornsalad,,
7/25/2022,DeclineBloom,Chipman2,OS,Herb,2,sticky geranium,Geraniaceae,Geranium,viscosissimum,1,3,no,,,
7/25/2022,DeclineBloom,Chipman2,OS,Herb,2,yarrow,Asteraceae,Achillea,millefolium,1,2,no,,,
7/25/2022,DeclineBloom,Chipman2,OS,Herb,3,Canadian thistle,Asteraceae,Cirsium ,arvense,1,3,yes,,74,
7/25/2022,DeclineBloom,Chipman2,OS,Woody,4,Blue elder,Adoxaceae,Sambucus,cerulea,1,,no,,,
7/25/2022,DeclineBloom,Chipman2,OS,Woody,4,rose,Rosaceae,Rosa,sp,3,,no,,,
7/25/2022,DeclineBloom,Chipman2,OS,Herb,3,Tall ragwort,Asteraceae,Senecio,serra,6,120,yes,yellow aster (inat pic),74.5,Yes
7/25/2022,DeclineBloom,Chipman2,OS,Woody,4,snowberry ,Caprifoliaceae,Symphoricarpos,albus,12,,no,,,
7/25/2022,DeclineBloom,Chipman2,OS,Woody,3,snowberry ,Caprifoliaceae,Symphoricarpos,albus,40,,no,,,
7/5/2022,PeakBloom,Chipman2,OS,Herb,2,sticky geranium,Geraniaceae,Geranium,viscosissimum,2,10,no,,,
7/5/2022,PeakBloom,Chipman2,OS,Herb,2,yarrow,Asteraceae,Achillea,millefolium,3,3,no,,,
7/5/2022,PeakBloom,Chipman2,OS,Herb,3,western groudsel,Asteraceae,Senceio,intergrrimus,3,29,no,,,
7/5/2022,PeakBloom,Chipman2,OS,Woody,3,Rose ,Rosaceae,Rosa,sp,7,NA,no,inat. picture,,
7/5/2022,PeakBloom,Chipman2,OS,Herb,1,western goldenrod,Asteraceae,Euthamia,oceidentalis,8,47,yes,just blooming,,
7/5/2022,PeakBloom,Chipman2,OS,Woody,4,Rose,Rosaceae,Rosa,sp,20,NA,no,see TR 3. approx,,
7/5/2022,PeakBloom,Chipman2,OS,Woody,3,snowberry ,Caprifoliacea,Symphoricarpos,albus,50,NA,,approx. amount,,
5/31/2022,PreBloom,Chipman2,OS,Herb,1,Sticky Geranium,Geraniaceae,Geranium,viscosissimum,1,0,no,,,
5/31/2022,PreBloom,Chipman2,OS,Herb,2,Miners lettuce,Monitaceae,Claytonia,perfoliata,1,1,no,Miner's lettuce,,
6/2/2022,PreBloom,Chipman2,OS,Herb,3,Slender phlox,Polemoniaceae,Microsteris,gracilis,1,4,yes,mini phlox,14,
6/2/2022,PreBloom,Chipman2,OS,Herb,3,Changing forget-me-not,Boraginaceae,Myosotis,discolor,2,4,yes,forget-me-not (bicolor),13,
6/2/2022,PreBloom,Chipman2,OS,Herb,3,Common cornsalad,Caprifoliaceae,Valerianella,locusta,2,5,yes,cornsalad,,
6/2/2022,PreBloom,Chipman2,OS,Herb,3,small forget-me-not,Boraginaceae,Myosotis,laxa,3,3,yes,forget-me-not (small),12,
6/2/2022,PreBloom,Chipman2,OS,Herb,4,Catchweed,Rubiaceae,Galium,aparine,4,4,yes,Catchweed bed straw,,
5/31/2022,PreBloom,Chipman2,OS,Herb,2,Burr Chervil,Apiaceae,Anthiscus,caucalis,5,5,no,Bur Parsley,,
5/31/2022,PreBloom,Chipman2,OS,Herb,1,Tall ragwort,Asteraceae,Senecio,sericeus,6,1,yes,,3,
5/31/2022,PreBloom,Chipman2,OS,Herb,1,Common Camas,Asparagaceae,Camassia,quamash,7,7,no,,,
6/2/2022,PreBloom,Chipman2,OS,Herb,4,Fernleaf biscuit root,Apiaceae,Lomatium,dissectum,8,9,no,Biscuit root,,
6/2/2022,PreBloom,Chipman2,OS,Herb,4,Miners lettuce,Montiaceae,Claytonia,perfoliata,12,12,yes,Miner's lettuce,,
6/2/2022,PreBloom,Chipman2,OS,Herb,4,small forget-me-not,Boraginaceae,Myosotis,laxa,16,18,yes,forget-me-nots,17,
6/2/2022,PreBloom,Chipman2,OS,Herb,3,Dames Rocket,Brassicaceae ,Hesperis,matronalis,57,57,yes,Dame's Rocket,1,
7/26/2022,DeclineBloom,Clark1,OS,Herb,1,sticky geranium,Geraniaceae,Geranium,viscosissimum,1,29,no,,,
7/26/2022,DeclineBloom,Clark1,OS,Herb,2,sticky geranium,Geraniaceae,Geranium,viscosissimum,1,5,no,,,
7/26/2022,DeclineBloom,Clark1,OS,Herb,3,Daisy fleabane,Asteraceae,Erigeron,strigosus,2,6,yes,,,
7/26/2022,DeclineBloom,Clark1,OS,Herb,2,hawkweed,Asteraceae,Hieracium,caespilosum,6,11,no,,,
6/27/2022,PeakBloom,Clark1,OS,Herb,1,hookers onion,Amaryllidaceae,Allium,acuminatum,1,1,no,not quite bloomed,,
6/27/2022,PeakBloom,Clark1,OS,Herb,4,Black medic,Fabaceae,Medicago,lupilina,1,1,no,,,
6/27/2022,PeakBloom,Clark1,OS,Herb,1,yarrow,Asteraceae,Achillea,millefolium,2,2,no,,,
6/27/2022,PeakBloom,Clark1,OS,Herb,1,Yellow salsify,Asteraceae,Tragopogon,dubius,2,2,yes,yellow aster,50,
6/27/2022,PeakBloom,Clark1,OS,Herb,3,Miners lettuce,Montiaceae,Claytonia,perfoliata,2,3,yes,little white,48,
6/27/2022,PeakBloom,Clark1,OS,Herb,4,Miners lettuce,Montiaceae,Claytonia,perfoliata,3,2,no,"little white, see TR 3",,
6/27/2022,PeakBloom,Clark1,OS,Woody,3,snowberry,Caprifoliaceae,Symphoricarpos,albus,3,NA,no,,,
6/27/2022,PeakBloom,Clark1,OS,Herb,1,Slender phlox,Polemoniaceae,Microsteris,gracilis,4,8,no,,,
6/27/2022,PeakBloom,Clark1,OS,Herb,4,forget-me-not,Boraginaceae,Myosotis,laxa,6,6,yes,,25,
6/27/2022,PeakBloom,Clark1,OS,Herb,2,lupine,Fabaceae,Lupinus,sericeus,7,3,yes,,47,
6/27/2022,PeakBloom,Clark1,OS,Herb,4,ivy-leaved speedwell,Plantaginaceae,Veronica,hederifolia,7,7,yes,,49,
6/27/2022,PeakBloom,Clark1,OS,Woody,3,mallow-leaf nine bark,Rosaceae,Physocarpus,malvaceus,9,NA,yes,,46,
6/27/2022,PeakBloom,Clark1,OS,Herb,2,Slender phlox,Polemoniaceae,Microsteris,gracilis,12,6,no,,,
6/27/2022,PeakBloom,Clark1,OS,Woody,1,snowberry,Caprifoliaceae,Symphoricarpos,albus,26,NA,no,flower buds not all bloomed,,
6/27/2022,PeakBloom,Clark1,OS,Woody,4,mallow-leaf nine bark,Rosaceae,Physocarpus,malvaceus,1,NA,no,see TR 3 specimen,,
6/7/2022,PreBloom,Clark1,ML,Herb,1,Rocky Mountain Iris,Iridaceae,Iris,missouriensis,1,1,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,Fernleaf biscuit root,Apiaceae,Lomatium,dissectum,2,3,no,,,
6/7/2022,PreBloom,Clark1,ML,Woody,4,Black Hawthorn,Rosaceae,Crataegus,douglasii,2,NA,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,1,Catchweed,Rubiaceae,Galium,aparine,4,5,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,Rocky Mountain Iris,Iridaceae,Iris,missouriensis,4,4,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,Catchweed,Rubiaceae,Galium,aparine,5,5,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,Miners lettuce,Montiaceae,Claytonia,perfoliata,7,7,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,4,Miners lettuce,Montiaceae,Claytonia,perfoliata,7,7,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,forget-me-not,Boraginaceae,Myosotis,sp,8,8,no,Switched family and genus,,
6/7/2022,PreBloom,Clark1,ML,Herb,2,Prairie Smoke,Rosaceae,Geum,triflorum,10,12,no,,,
6/7/2022,PreBloom,Clark1,ML,Herb,4,Burr Chervil,Apiaceae,Anthiscus,caucalis,15,78,Yes,,,
6/7/2022,PreBloom,Clark1,ML,Woody,4,Chokecherry,Rosaceae,Prunus,virginiana,28,NA,no,,,
7/26/2022,DeclineBloom,Clark2,OS,Herb,3,Collomia,Polemoniaceae,Collomia,grandiflora,2,11,no,,,
7/26/2022,DeclineBloom,Clark2,OS,Woody,4,Black Hawthorn,Rosaceae,Crataegus,douglasii,11,,no,,,
6/28/2022,PeakBloom,Clark2,OS,Herb,4,Eastern white-bryony,Curcubitaceae,Bryonia,alba,1,19,yes,"vine, yellow flowers",72,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,small-flowered blue-eyed mary,Plantaginaceae,Collinsia,parviflora,2,2,yes,,,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,miners lettuce,Montiaceae,Claytonia,perfoliata,3,3,yes,,52,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,Hairy clematis,Ranunculaceae,Clematis,hirsutissima,4,4,yes,,,
6/28/2022,PeakBloom,Clark2,OS,Woody,4,Rose,Rosaceae,Rosa,sp,4,NA,no,"pink roses, inat photo",,yes
6/28/2022,PeakBloom,Clark2,SH,Herb,1,lava alumroot,Saxifragaceae,Heuchera,cylindrica,7,7,yes,,,
6/28/2022,PeakBloom,Clark2,SH,Herb,1,little sunflower,Asteraceae,Helianthella,uniflora,22,25,yes,,,
6/28/2022,PeakBloom,Clark2,OS,Herb,2,miners lettuce,Montiaceae,Claytonia,perfoliata,28,38,yes,,,
6/7/2022,PreBloom,Clark2,ML,Herb,1,Arrowleaf Balsamroot,Asteraceae,Balsamorhiza,sagittata,1,6,no,,,
6/7/2022,PreBloom,Clark2,ML,Herb,2,tall ragwort,Asteraceae,Senecio,sericeus,1,1,yes,,23,
6/7/2022,PreBloom,Clark2,ML,Herb,4,Tall ragwort,Asteraceae,Senecio,sericeus,2,2,yes,,23,
